,title,price,commit,shop_name,href,brand,RAM,SSD,GPU,CPU,screen
11,"京品电脑
惠普(HP)战66四代 锐龙版15.6英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 512G 400尼特高色域 一年上门)",4999.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018083778.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-5800U,15.6英寸
12,宏碁(Acer)墨舞P50 英特尔酷睿i5 15.6英寸轻薄笔记本(i5-1135G7 8G 512GPCIe 全高清 Wifi6 雷电4 Win10),3799.00,2000+,宏碁商用京东自营旗舰店,https://ccc-x.jd.com/dsp/nc?ext=aHR0cDovL2l0ZW0uamQuY29tLzEwMDAxNTM3Nzk2OS5odG1s&log=4oBeJFpkHhdY3yBzfqxSGhGV6xSqXHwh-y2ObK9xQYN41_79bAYRzoqJX55DMGlqxJ59v2T3n56a_SGqVjzqxZ5vYv2lkNXe7Etzkp5UF40Cu7iBoMRBfeRwRxJTxj0T5PmEKDThN1hzN7nxv2Lf_2hNA0lnyQFsi1heWPgrANzXxWZgQs9NRaHV2cZ7LeRSSmdnRnNztI9QT69t3cM_lGMUts2UdkVDxyfEoitO45Uj8cDnOMT0KH5xLnS-PmITgTEe8okIWTcB5-OEPrY51kO6jjskvy2ODFe2U3bX5qhBIbnhLyQBFiKwPABxDbjcjfmPfhMJCQOPkDLFanyZ6VyRM6XlFc7Hq3c6GxM7ztQ0pZQ6AeWPrf3j3CzFBJDERnfQApvHO7q73WFH_VFMdIGW1siqeHOVRraeWOoj9IFMHi4Latc_4WpsmVMTBylxxujKr2MxgtbwwQsZFI8fz_HA9leeRUrIpeiEKUc1cwtHstqhcEc6yzorlZIaCxl2YVCuTiOMmpry_otWLi-N6bSqZwU0QstaQsrI1DbwqpdaNP4jf_W1U-Iv19d3YugsAWp1vaFan0IFq6uqHkkydBVLYzzjAx6tthZiJfdap_lERj-AGSsfMaAwJont8Nj81sxWH8GsodX6EsXH6IRMNG15wroS7tHRbx1WqOCWXweRUtyVwH4cTE8wW3taj0zkYdVGUEO6aWwtTaFNvNCrNeOjfSbHDDB-8xCjiMgQis70MtzotlkSPneYZw_FYNV4Or8gBzGTw0jVsDgXSP3TsT5ivjeu_SWI9dHUArJp7BRZlAwdF5pSr4-9BI6xn7LhfK1_Wk3z1-5kX1bCoPnZ_luN83skJERQnL_C2Ou-MASRkseYgVq9Q-1TePtVwgFD8UToc7Ny-oGizINWeXdZoEfPi0GdpKlHhu9XuKXw1-g950OT-lKhCenzDcIjvJIo0vCx6ZkJpauXPRgBE2qTWHz2vg9lcsqdUEIo_93uR3deuEhrbSkNl8ZwLvGALd9iM1Q35FF-Vn3v5QxzOBZzuIH_64foMHxbwoNF9cjkETOcB8seL1WIHzXnKyVeFJK9V7xdV7oaNjyHxGB0Ler7AbZf1ieMrO8t9bkKR9hFrajUq1Knj36si-ZNKYy_qWNfCgGigV_svAdkA6rd2cZtoA&v=404,宏碁（acer）,内存容量：8GB,固态硬盘（SSD）：512GB,显卡型号：intel 集成显卡,i5-1135G7,15.6英寸
13,联想笔记本电脑小新Pro16 16英寸全面屏性能游戏轻薄本(标压R7-5800H 16G 512G 2.5K 120Hz GTX1650)锐龙版,6299.00,20万+,联想京东自营旗舰店,https://item.jd.com/100011175665.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：GTX 1650,R7-5800H,16英寸
14,联想笔记本电脑小新Pro14 英特尔Evo平台14英寸全面屏性能轻薄本(标压i5-11320H 16G 512G 2.8K 90Hz 护眼屏),5499.00,10万+,联想京东自营旗舰店,https://item.jd.com/100014546493.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-11320H,14英寸
15,"京品电脑
荣耀笔记本 MagicBook X 15 2021 15.6英寸全面屏轻薄笔记本电脑 （i5 8GB 512GB多屏协同）冰河银",3899.00,10万+,荣耀京东自营旗舰店,https://item.jd.com/100021400874.html,荣耀（HONOR）,内存容量：8GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-10210U,15.6英寸
16,"京品电脑
惠普(HP)战66四代 锐龙版15.6英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 400尼特高色域 一年上门)",4599.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100010242577.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,15.6英寸
17,"京品电脑
惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 512G 400尼特高色域 一年上门)",5299.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018080014.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-5800U,14英寸
18,联想笔记本ThinkPad T14(01CD)AMD锐龙Pro 14英寸高性能轻薄本商务办公(8核 R7 PRO-5850U 16G 512G 指纹),7299.00,2万+,ThinkPad京东自营旗舰店,https://ccc-x.jd.com/dsp/nc?ext=aHR0cDovL2l0ZW0uamQuY29tLzEwMDAyODE3Nzk3MC5odG1s&log=4oBeJFpkHhdY3yBzfqxSGhGV6xSqXHwh-y2ObK9xQYNaC4HPWjkXT0XqQP99Eclz_FFS7OA5vj-iyb40QrRR10gZ0JQBg5BMFdKiX0LeVbeblvwHKuAr9vsXAg67eCTaL6niiYiYtLRBIGIKucUDLSIZYp2FmELNH8vmGe_cyUnDCW1Pzta7zU35ENLh9_mup5VOHh8y3ldhqITcIKLV3KvW2rpz9br4v52q0s1AeACwCtGBUm7fss-62YRRiaiHGGlGivI-oWMVdd4qw-XGPMWBm6Ewib-0GhbJ_PVTX3jpwoijiK7gB8ttAQp4ptrMr-8OgdI00h3Qlrgf8FsY5lV3cHTOtF4wSH3xKmhCWdDjoWIwgWAsamg4D7wSEMwpIbLFumeFoLyB5NeE2DkTd2NZd1c-9Rx8PQ4I0FgVeTPNonOYtEmkECBhVUXHbhvKMAin3-bp_kuAu2PTb7kNebR3OiFs_y6HeCUxpE43voIK0vC7M0G4CBE2HDlLmmjv4jQQH_k1tq3YfPI9vmAHwDsP943xsNW6yETqImZh7_igWoVwGAO_Yhj1-GEEgsl6_SqWa2QU_MCsNSsux0cLj5mDwwTqtt2W-1k_ajUIIU7ABDpGRPevi8LAsFCaRjoMayZQH73_FeZGNkzgG7UMRB6U2g3wOiuZJBmGUDCliwdjfR1xlOrY2Nj444jc30fnh2QsnkZ_K7XzWswV31S4wlIQ7HQe2XE70du_9jI5Ov6KKQQdB0UO2hjOBZonoYhGhoVLmlGI0sIrDGno3qUDuP2y3eCBGFEzc2m3stI_QtlzYRDZX0a0_js9j3xGNgVrP-stWaRnLxDZiURFIci8zoHGinHcqgR5mNsXPwRzlrRje4WhPEWaml4RU8GBU2zS9HxYxfyJf-5ts89_24gL5Q9o_ZZI3NFdp_4SnJAJy2lwzla_f6sTL5pEg61bAPbSX0zDCwCg7Zrp3dhwBhDW2OzLF5886AfssG0CimXjsorbsfgfNcfM1JqqOx0YnqWOt5-eoS0FNIDZloPUvg1lZjI4i79z1gl2Ajc0R8laB_15G-UlH6gZrlaJlJh2dOJ9OFZz6Se9_pOsJ-KjnkuaJaRTvNl5ytSTELWPfnOnmT6iFjtBj3WHogKDQHIpvoa7IGKj9VYuA_Fs7mR4WqdpQOCyjQe-7ptYN39U2i7Kt_M&v=404,ThinkPad,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-PRO 5850U,14英寸
19,华为笔记本电脑MateBook D 14 2022款 14英寸 11代酷睿 i5 16G+512G 集显 轻薄本/护眼全面屏/华为分享 银,4799.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100016960357.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
20,"京品电脑
联想ThinkBook 14 2021款 酷睿版(0SCD) 酷睿i5 14英寸轻薄笔记本(i5-1155G7 16G 512G 高色域 Win11)",5499.00,20万+,ThinkPad京东自营旗舰店,https://item.jd.com/100014855527.html,ThinkPad,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
